A Little Chat|Conversinha
Aarakocra Sneak|Aarakocra Furtivo
Abandon Hope|Abandonar a Esperança
Abandon Reason|Abandonar a Razão
Abandon the Post|Abandonar o Posto
Abandoned Outpost|Posto Avançado Abandonado
Abandoned Sarcophagus|Sarcófago Abandonado
Abattoir Ghoul|Carniçal Abatedor
Abbey Gargoyles|Gárgulas da Abadia
Abbey Griffin|Grifo da Abadia
Abbey Matron|Matrona da Abadia
Abbot of Keral Keep|Abade da Fortaleza Keral
Abdel Adrian, Gorion's Ward|Abdel Adrian, Protegido de Gorion
Abduction|Abdução
Aberrant Mind Sorcerer|Feiticeira da Mente Aberrante
Aberrant Researcher|Pesquisador Aberrante
Aberrant|Aberrante
Abeyance|Latência
Abhorrent Overlord|Soberano Abominável
Abiding Grace|Graça Sempiterna
Abjure|Abjurar
Abnormal Endurance|Resistência Anormal
Aboleth Spawn|Prole de Abolete
Abolisher of Bloodlines|Abolidora de Linhagens
Abolish|Abolir
Abominable Treefolk|Ent Abominável
Abomination of Gudul|Abominação de Gudul
Abomination of Llanowar|Abominação de Llanowar
Abomination|Abominação
Aboroth|Aboroth
Aboshan's Desire|Desejo de Aboshan
Aboshan, Cephalid Emperor|Aboshan, Imperador Cefálida
About Face|Meia-volta
Abrade|Abrasão
Abrupt Decay|Degeneração Abrupta
Absolute Grace|Graça Absoluta
Absolute Law|Lei Absoluta
Absolver Thrull|Thrull Absolvedor
Absorb Identity|Absorver Identidade
Absorb Vis|Absorver Vis
Absorb|Absorver
Abstruse Interference|Interferência Abstrusa
Abuna Acolyte|Acólito Abuna
Abuna's Chant|Canto do Abuna
Abundance|Abundância
Abundant Growth|Crescimento Abundante
Abundant Harvest|Safra Abundante
Abundant Maw|Gorja Abundante
Abyssal Gatekeeper|Porteiro Abissal
Abyssal Horror|Horror Abissal
Abyssal Hunter|Caçador Abissal
Abyssal Nightstalker|
Abyssal Nocturnus|Nocturnus Abissal
Abyssal Persecutor|Perseguidor Abissal
Abyssal Specter|Espectro Abissal
Abzan Advantage|Vantagem Abzan
Abzan Ascendancy|Ascendência Abzan
Abzan Banner|Estandarte Abzan
Abzan Battle Priest|Sacerdote de Batalha Abzan
Abzan Beastmaster|Mestre das Feras Abzan
Abzan Charm|Amuleto Abzan
Abzan Falconer|Falcoeiro Abzan
Abzan Guide|Guia Azban
Abzan Kin-Guard|Protetor da Família Abzan
Abzan Runemark|Marca Rúnica Abzan
Abzan Skycaptain|Capitão Celeste Abzan
Academic Dispute|Disputa Acadêmica
Academic Probation|Suspensão Acadêmica
Academy Drake|Dragonete da Academia
Academy Elite|Elite da Academia
Academy Journeymage|Maga Graduada da Academia
Academy Loremaster|Mestra do Saber da Academia
Academy Manufactor|Fabricante da Academia
Academy Raider|Salteador da Academia
Academy Rector|Reitor da Academia
Academy Researchers|Pesquisadores da Academia
Academy Ruins|Ruínas da Academia
Academy Wall|Muralha da Academia
Accelerated Mutation|Mutação Acelerada
Accelerate|Acelerar
Acceptable Losses|Perdas Reparáveis
Access Denied|Acesso Negado
Access Tunnel|Túnel de Acesso
Acclaimed Contender|Competidora Aclamada
Accomplished Alchemist|Alquimista Talentosa
Accomplished Automaton|Autômato Talentoso
Accorder Paladin|Paladino dos Concordantes
Accorder's Shield|Escudo dos Concordantes
Accumulated Knowledge|Conhecimento Acumulado
Accursed Centaur|Centauro Amaldiçoado
Accursed Horde|Horda Amaldiçoada
Accursed Spirit|Espírito Amaldiçoado
Accursed Witch|Bruxa Amaldiçoada
Acererak the Archlich|Acererak, o Arquilich
Acid Web Spider|Aranha da Teia Ácida
Acid-Spewer Dragon|Dragão Cuspidor de Ácido
Acidic Dagger|Adaga Ácida
Acidic Slime|Limo Ácido
Acidic Sliver|Fractius Acídico
Acidic Soil|Solo Ácido
Acolyte Hybrid|Híbrido Acólito
Acolyte of Affliction|Acólita da Aflição
Acolyte of Bahamut|Acólito de Bahamut
Acolyte of Xathrid|Acólito de Xathrid
Acolyte of the Inferno|Acólito do Inferno
Acolyte's Reward|Recompensa do Acólito
Acorn Harvest|Colheita de Nozes
Acquire|Adquirir
Acquisition Octopus|Polvo de Aquisição
Acquisitions Expert|Especialista em Aquisições
Acridian|Acrídio
Acrobatic Maneuver|Manobra Acrobática
Act of Aggression|Ato de Agressão
Act of Heroism|Ato de Heroísmo
Act of Treason|Ato de Traição
Act on Impulse|Agir por Impulso
Activated Sleeper|Adormecido Ativado
Ad Nauseam|Até Enjoar
Adamant Will|Vontade Adamantina
Adamaro, First to Desire|Adamaro, O Primeiro a Desejar
Adanto Vanguard|Vanguarda de Adanto
Adanto, the First Fort|Adanto, o Primeiro Forte
Adaptive Automaton|Autômato Adaptável
Adaptive Shimmerer|Cintilador Adaptável
Adaptive Snapjaw|Mandíbula Atroz Adaptável
Adaptive Sporesinger|Cantasporo Adaptável
Adarkar Sentinel|Sentinela de Adarkar
Adarkar Unicorn|Unicórnio de Adarkar
Adarkar Valkyrie|Valquíria de Adarkar
Adarkar Wastes|Regiões Agrestes de Adarkar
Adarkar Windform|Pé-de-Vento de Adarkar
Adder-Staff Boggart|Papão Cajado de Víbora
Addle|Aturdir
Adeline, Resplendent Cathar|Adeline, Cátara Resplandecente
Adeliz, the Cinder Wind|Adeliz, o Vento Cinzento
Adherent of Hope|Adepta da Esperança
Admiral Beckett Brass|Almirante Beckett Bronze
Admiral's Order|Ordem da Almirante
Admonition Angel|Anjo da Admonição
Adorned Pouncer|Saltador Adornado
Adriana, Captain of the Guard|Adriana, Capitã da Guarda
Adrix and Nev, Twincasters|Adrix e Nev, Conjuradores Gêmeos
Adult Gold Dragon|Dragão de Ouro Adulto
Advance Scout|Batedor Avançado
Advanced Hoverguard|Guarda-de-Ronda Avançado
Advanced Stitchwing|Asa Suturada Avançado
Advent of the Wurm|
Adventure Awaits|Aventura à Espera
Adventuring Gear|Aparelhagem de Aventura
Adventurous Impulse|Impulso Aventureiro
Adverse Conditions|Condições Adversas
Advice from the Fae|Conselho das Fadinas
Advocate of the Beast|Advogado da Fera
Aegar, the Freezing Flame|Aegar, a Chama Congelante
Aegis Angel|Anjo da Égide
Aegis Automaton|Autômato da Égide
Aegis Turtle|Tartaruga da Égide
Aegis of Honor|Égide de Honra
Aegis of the Gods|Égide dos Deuses
Aegis of the Heavens|Égide dos Céus
Aegis of the Meek|Égide da Humildade
Aeon Chronicler|Cronista de Aeon
Aeon Engine|Motor dos Éons
Aerial Assault|Ataque Aéreo
Aerial Boost|Impulso Aéreo
Aerial Caravan|Caravana Aérea
Aerial Engineer|Engenheira Aérea
Aerial Formation|Formação Aérea
Aerial Guide|Guia Aéreo
Aerial Maneuver|Manobra Aérea
Aerial Modification|Modificação Aérea
Aerial Predation|Predação Aérea
Aerial Responder|Socorrista Aéreo
Aerial Surveyor|Monitorador Aéreo
Aerial Volley|Salva Aérea
Aerie Bowmasters|Mestres Arqueiros do Ninho
Aerie Mystics|Místicos Altívolos
Aerie Ouphes|Trasgos Empoleirados
Aerie Worshippers|Adoradoras do Ninho
Aeromoeba|Aeroameba
Aeromunculus|Aeromúnculo
Aeronaut Admiral|Almirante Aeronauta
Aeronaut Cavalry|Cavalaria de Aeronautas
Aeronaut Tinkerer|Reparador Aeronauta
Aeronaut's Wings|Asas de Aeronauta
Aesi, Tyrant of Gyre Strait|Aesi, Tirano do Estreito do Remoinho
Aesthir Glider|Planador de Aesthir
Aether Adept|Adepto do Éter
Aether Barrier|Barreira de Éter
Aether Burst|Explosão do Éter
Aether Channeler|Canalizador de Éter
Aether Charge|Investida do Éter
Aether Chaser|Caçador de Éter
Aether Figment|Ficção Etérea
Aether Flash|Clarão do Éter
Aether Gale|Vendaval Etéreo
Aether Gust|Rajada de Éter
Aether Helix|Hélice de Éter
Aether Herder|Pastor do Éter
Aether Hub|Núcleo do Éter
Aether Inspector|Inspetor de Éter
Aether Meltdown|Derretimento Etéreo
Aether Membrane|Membrana Etérea
Aether Mutation|Mutação do Éter
Aether Poisoner|Envenenadora do Éter
Aether Rift|Fenda do Éter
Aether Shockwave|Onda de Choque de Éter
Aether Snap|Estalo do Éter
Aether Spellbomb|Magibomba de Éter
Aether Sting|Ferroada do Æther
Aether Storm|Tempestade do Æter
Aether Swooper|Planadora Etérea
Aether Theorist|Teórico do Éter
Aether Tide|Maré do éter
Aether Tradewinds|Ventos Alíseos de Éter
Aether Tunnel|Túnel Etéreo
Aether Vial|Frasco do Éter
Aether Web|Teia Etérea
Aetherborn Marauder|Saqueador Etergênito
Aetherflame Wall|Barreira de Fogo Etéreo
Aetherflux Reservoir|Reservatório do Fluxo de Éter
Aethergeode Miner|Mineradora do Geodo Etéreo
Aetherize|Eterificar
Aetherling|
Aethermage's Touch|Toque da Maga Etérea
Aetherplasm|Éterplasma
